EmployeeNumber,Age,Gender,MaritalStatus,Department,EducationField,Education,BusinessTravel,DistanceFromHome,JobRole,JobLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,StockOptionLevel,OverTime,PercentSalaryHike,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,EmployeeCount,Over18,StandardHours,Attrition
15,48,Female,Married,Sales,Life Sciences,2,Travel_Rarely,26,Sales Executive,5,4,2,4,2,3,3,4,29,15,9,6,4,1,0,No,24,15630,450,88,24269,1,Y,80,No
16,51,Male,Single,Research & Development,Life Sciences,3,Travel_Rarely,16,Healthcare Representative,1,2,4,2,4,3,3,3,31,19,16,4,2,1,0,No,18,7512,592,71,17289,1,Y,80,No
17,40,Male,Married,Research & Development,Life Sciences,5,Travel_Frequently,26,Research Director,2,1,1,3,2,3,3,9,21,7,1,1,3,6,2,No,17,7555,1261,31,14697,1,Y,80,No
18,23,Male,Married,Research & Development,Technical Degree,3,Travel_Rarely,21,Sales Executive,1,2,4,2,2,3,4,3,5,4,2,0,2,2,3,No,25,5173,913,90,16556,1,Y,80,No
19,54,Male,Married,Research & Development,Technical Degree,3,Travel_Rarely,20,Sales Representative,3,1,1,3,2,3,3,2,33,24,3,14,10,2,0,No,19,13164,994,33,10170,1,Y,80,No
20,37,Female,Divorced,Research & Development,Other,1,Non-Travel,1,Laboratory Technician,4,2,2,2,4,3,3,6,19,17,6,5,14,4,0,No,12,14470,1328,64,24154,1,Y,80,No
21,39,Male,Married,Research & Development,Other,5,Non-Travel,21,Healthcare Representative,1,3,3,2,2,4,4,6,20,11,7,6,1,0,0,No,14,6555,284,38,17370,1,Y,80,No
22,33,Male,Married,Human Resources,Human Resources,4,Travel_Rarely,14,Research Director,3,3,4,4,2,3,3,6,11,6,4,1,4,0,1,No,19,11118,412,49,14759,1,Y,80,No
23,25,Male,Married,Research & Development,Life Sciences,2,Travel_Rarely,25,Healthcare Representative,3,3,2,3,4,4,3,5,6,2,0,0,1,5,1,No,14,7566,1455,57,19616,1,Y,80,No
24,57,Female,Divorced,Research & Development,Human Resources,3,Travel_Rarely,20,Sales Executive,4,4,1,3,2,4,3,3,34,21,5,2,14,6,1,No,13,16211,1179,48,21994,1,Y,80,No
25,51,Male,Divorced,Research & Development,Technical Degree,3,Travel_Rarely,3,Sales Executive,2,2,4,4,2,3,3,2,33,22,15,5,11,6,0,No,15,8421,182,92,11883,1,Y,80,No
26,45,Female,Single,Research & Development,Human Resources,1,Travel_Rarely,26,Sales Representative,1,3,4,2,4,3,3,1,25,13,2,0,3,0,0,No,18,5912,416,70,20300,1,Y,80,No
27,35,Female,Married,Research & Development,Life Sciences,5,Travel_Rarely,2,Human Resources,1,1,3,4,2,3,3,1,17,5,1,0,3,3,2,No,12,5220,623,55,21959,1,Y,80,No
28,53,Male,Single,Sales,Life Sciences,5,Travel_Rarely,9,Laboratory Technician,3,2,1,3,3,2,4,5,35,14,3,3,9,5,1,Yes,18,10608,145,50,18642,1,Y,80,No
29,41,Female,Divorced,Research & Development,Other,5,Travel_Rarely,7,Human Resources,3,3,3,4,3,3,3,4,19,4,0,1,3,5,0,No,21,10058,916,65,4916,1,Y,80,Yes
30,37,Female,Married,Human Resources,Life Sciences,2,Travel_Rarely,29,Healthcare Representative,5,1,2,2,1,3,3,7,19,8,6,2,2,2,0,No,17,14951,1009,54,6794,1,Y,80,No
31,37,Male,Married,Sales,Medical,2,Travel_Rarely,5,Sales Executive,3,2,2,3,1,3,3,8,14,9,1,2,4,3,0,No,21,8512,570,87,2779,1,Y,80,No
32,27,Female,Single,Research & Development,Medical,1,Non-Travel,25,Healthcare Representative,1,1,1,1,4,2,3,5,6,5,2,1,2,1,0,No,20,4213,400,46,8909,1,Y,80,Yes
33,21,Male,Married,Research & Development,Life Sciences,4,Travel_Rarely,7,Human Resources,4,4,2,1,2,3,3,1,1,0,0,0,0,0,0,No,18,10278,695,78,6115,1,Y,80,No
34,41,Female,Married,Sales,Life Sciences,2,Non-Travel,19,Laboratory Technician,1,3,4,1,2,3,3,0,18,4,0,1,2,2,1,No,25,5957,1387,61,16169,1,Y,80,No
35,56,Female,Single,Research & Development,Other,5,Travel_Rarely,3,Human Resources,2,3,1,3,3,3,3,2,36,15,9,7,3,1,0,No,20,9892,1105,48,24736,1,Y,80,No
36,20,Male,Single,Research & Development,Human Resources,5,Travel_Frequently,12,Manager,4,3,4,2,1,2,3,2,0,0,0,0,0,6,0,Yes,23,11705,1406,63,3648,1,Y,80,Yes
37,54,Female,Divorced,Human Resources,Human Resources,1,Travel_Rarely,19,Manufacturing Director,2,1,3,2,1,3,4,0,34,25,18,3,3,0,1,No,20,10425,874,38,9112,1,Y,80,No
38,53,Male,Married,Sales,Life Sciences,5,Travel_Frequently,21,Sales Representative,3,1,3,3,2,2,3,7,32,6,4,1,1,3,0,No,25,12262,247,67,3126,1,Y,80,No
39,29,Female,Single,Research & Development,Life Sciences,1,Travel_Rarely,26,Manufacturing Director,3,2,4,2,4,3,3,3,6,5,3,2,1,3,1,Yes,17,8177,183,80,4090,1,Y,80,No
40,45,Female,Single,Research & Development,Medical,3,Travel_Rarely,24,Sales Executive,5,1,1,1,3,3,3,7,24,21,8,11,3,0,2,No,13,15405,372,72,3245,1,Y,80,No
41,25,Male,Divorced,Sales,Medical,3,Travel_Frequently,16,Research Director,2,2,4,3,3,4,3,2,6,3,2,0,1,3,0,No,13,6675,829,31,17167,1,Y,80,No
42,50,Male,Married,Research & Development,Life Sciences,5,Travel_Rarely,9,Manufacturing Director,5,2,2,3,3,3,4,0,27,25,15,7,16,6,1,No,25,13132,394,71,25032,1,Y,80,No
43,48,Male,Married,Sales,Technical Degree,4,Travel_Rarely,8,Manager,4,4,2,1,4,3,4,1,27,18,7,8,13,0,0,No,22,15375,544,31,20117,1,Y,80,No
44,33,Male,Single,Sales,Other,5,Travel_Frequently,29,Sales Representative,4,2,2,2,4,4,3,4,11,10,1,5,3,1,0,No,15,10009,1376,56,19221,1,Y,80,Yes
45,20,Male,Single,Research & Development,Medical,3,Travel_Rarely,18,Sales Executive,1,1,3,1,1,3,3,4,0,0,0,0,0,1,0,No,17,4590,160,75,5917,1,Y,80,Yes
46,59,Male,Single,Research & Development,Medical,5,Travel_Rarely,27,Sales Representative,1,4,2,3,3,4,3,4,40,39,11,3,17,0,1,No,11,6297,209,93,22919,1,Y,80,No
47,37,Male,Married,Research & Development,Medical,5,Travel_Rarely,13,Manufacturing Director,4,1,4,1,3,2,3,9,14,4,1,2,1,6,0,No,25,13200,645,99,16482,1,Y,80,No
48,56,Male,Single,Research & Development,Life Sciences,5,Non-Travel,15,Healthcare Representative,3,1,1,1,1,3,3,6,34,16,13,6,4,0,1,No,17,10769,1151,66,26085,1,Y,80,No
49,47,Female,Single,Research & Development,Life Sciences,3,Travel_Rarely,24,Healthcare Representative,2,2,3,2,4,2,3,7,28,26,18,2,12,1,0,No,16,10204,1253,45,11763,1,Y,80,No
50,51,Female,Married,Sales,Medical,2,Non-Travel,21,Sales Representative,5,1,3,2,2,3,4,1,28,13,2,2,11,5,1,No,14,17717,502,89,19524,1,Y,80,No
51,50,Female,Divorced,Sales,Medical,5,Travel_Frequently,6,Research Scientist,2,4,3,4,4,4,3,4,32,11,9,3,4,6,0,No,12,7550,506,55,14014,1,Y,80,No
52,26,Male,Married,Sales,Medical,4,Travel_Rarely,16,Sales Executive,3,2,3,1,1,3,3,6,3,0,0,0,0,1,0,No,22,7187,915,69,14883,1,Y,80,Yes
53,33,Female,Married,Research & Development,Technical Degree,5,Travel_Rarely,7,Manufacturing Director,4,4,3,4,3,3,3,5,12,3,1,1,0,2,1,Yes,14,12418,1312,44,4654,1,Y,80,No
54,38,Male,Married,Sales,Life Sciences,3,Travel_Rarely,23,Research Scientist,5,1,4,2,3,2,4,9,17,8,6,0,1,1,0,No,12,12765,348,56,13975,1,Y,80,No
55,39,Male,Married,Sales,Life Sciences,5,Travel_Rarely,1,Laboratory Technician,5,3,1,2,3,4,3,4,21,11,7,1,2,1,0,No,25,12312,1349,64,6177,1,Y,80,No
56,19,Male,Married,Sales,Life Sciences,4,Travel_Frequently,24,Manager,4,1,2,1,1,3,3,3,0,0,0,0,0,6,1,Yes,19,12742,1229,82,20650,1,Y,80,Yes
57,41,Female,Married,Research & Development,Life Sciences,4,Travel_Rarely,27,Research Director,1,1,3,2,1,2,3,9,19,16,4,1,8,2,1,Yes,12,5968,474,93,19718,1,Y,80,No
58,24,Male,Married,Research & Development,Medical,1,Travel_Rarely,1,Sales Representative,1,2,2,2,3,4,3,3,3,0,0,0,0,4,1,Yes,15,3391,1039,42,23697,1,Y,80,No
59,49,Male,Married,Research & Development,Technical Degree,3,Travel_Frequently,19,Laboratory Technician,4,4,4,3,4,3,3,5,31,27,18,8,17,1,0,No,19,13694,980,69,13523,1,Y,80,No
60,47,Female,Divorced,Research & Development,Human Resources,4,Travel_Frequently,3,Research Director,3,2,3,4,3,3,3,0,26,17,4,3,8,1,0,No,14,9531,129,98,22740,1,Y,80,No
61,57,Male,Divorced,Research & Development,Marketing,4,Travel_Frequently,11,Manufacturing Director,1,4,3,3,1,1,3,1,35,28,3,13,5,2,0,No,25,8028,662,31,24255,1,Y,80,No
62,50,Male,Single,Sales,Medical,5,Travel_Rarely,10,Research Scientist,4,1,1,1,4,2,3,0,31,24,7,0,16,4,0,No,24,11276,431,70,14323,1,Y,80,No
63,33,Female,Married,Research & Development,Life Sciences,2,Travel_Rarely,16,Sales Representative,5,2,2,2,2,3,3,4,11,10,4,4,2,6,0,No,24,13467,195,84,25671,1,Y,80,No
64,59,Male,Single,Sales,Medical,2,Travel_Rarely,27,Healthcare Representative,1,3,3,3,1,3,4,9,36,9,3,3,5,1,0,No,18,6559,752,37,21337,1,Y,80,No
65,35,Male,Married,Research & Development,Medical,5,Travel_Rarely,14,Manufacturing Director,5,2,2,3,2,4,3,0,15,9,7,2,7,4,0,No,25,17206,1083,77,9256,1,Y,80,No
66,32,Female,Single,Research & Development,Human Resources,5,Travel_Frequently,12,Manager,2,3,4,3,1,2,3,9,13,12,5,6,5,3,1,No,15,6230,843,59,13914,1,Y,80,No
67,56,Female,Single,Research & Development,Medical,1,Non-Travel,3,Sales Representative,2,3,1,3,4,3,3,8,33,25,18,3,8,5,0,No,19,10093,224,72,4523,1,Y,80,No
68,33,Male,Married,Sales,Life Sciences,2,Travel_Rarely,26,Laboratory Technician,4,1,1,3,4,3,3,0,10,2,1,0,1,2,0,No,22,11661,1258,80,11609,1,Y,80,No
69,21,Female,Married,Research & Development,Life Sciences,5,Travel_Frequently,10,Research Scientist,2,3,2,4,1,3,3,0,1,0,0,0,0,2,0,No,18,7047,198,40,11014,1,Y,80,Yes
70,38,Male,Divorced,Research & Development,Life Sciences,1,Travel_Frequently,14,Healthcare Representative,1,4,2,3,3,3,3,9,18,15,3,8,5,4,0,Yes,23,4977,641,34,9441,1,Y,80,Yes
71,52,Male,Single,Research & Development,Human Resources,4,Travel_Rarely,3,Sales Executive,5,4,4,3,1,3,3,5,29,12,3,0,6,3,1,No,12,18012,895,52,10887,1,Y,80,No
72,26,Male,Single,Research & Development,Life Sciences,1,Travel_Frequently,9,Manager,2,2,4,2,2,3,3,1,8,5,3,1,1,5,0,No,17,8143,1397,48,3363,1,Y,80,No
73,37,Male,Married,Research & Development,Life Sciences,1,Non-Travel,17,Manufacturing Director,1,2,2,2,1,4,3,9,18,15,10,1,1,0,0,No,23,4975,1155,50,13335,1,Y,80,No
74,23,Female,Single,Sales,Life Sciences,4,Travel_Rarely,27,Research Scientist,4,4,3,3,3,3,3,5,2,1,0,0,0,2,2,No,13,9925,371,95,7029,1,Y,80,No
75,47,Female,Single,Research & Development,Technical Degree,4,Non-Travel,10,Manager,2,4,2,4,1,3,3,6,26,9,7,0,3,1,0,No,16,10180,698,78,7728,1,Y,80,No
76,38,Male,Divorced,Research & Development,Medical,3,Travel_Frequently,17,Manufacturing Director,4,4,3,4,4,3,3,6,17,10,7,1,4,1,0,Yes,25,12109,1300,55,20250,1,Y,80,No
77,32,Male,Single,Sales,Marketing,5,Travel_Frequently,26,Manufacturing Director,1,4,3,3,1,3,3,2,12,8,1,0,7,0,1,No,20,5659,446,72,24206,1,Y,80,No
78,27,Male,Single,Research & Development,Medical,2,Non-Travel,11,Research Scientist,3,2,3,4,2,2,4,3,4,2,1,0,0,2,1,No,16,10041,1366,41,6292,1,Y,80,No
79,42,Female,Married,Research & Development,Life Sciences,3,Non-Travel,9,Sales Representative,3,1,4,1,4,4,3,1,21,15,11,6,3,1,2,No,16,9733,846,42,16031,1,Y,80,No
80,46,Male,Married,Research & Development,Technical Degree,4,Travel_Rarely,2,Human Resources,5,1,3,2,4,2,3,5,25,13,9,3,10,5,2,No,14,13592,977,36,24529,1,Y,80,No
81,58,Female,Married,Research & Development,Life Sciences,4,Travel_Rarely,27,Manager,3,2,2,1,1,2,3,9,35,31,5,0,6,3,1,No,22,11211,1028,60,17197,1,Y,80,No
82,36,Male,Married,Research & Development,Life Sciences,2,Travel_Frequently,4,Laboratory Technician,5,4,1,3,1,3,3,6,18,14,3,7,11,5,0,No,12,15345,1454,73,3964,1,Y,80,No
83,24,Male,Divorced,Research & Development,Medical,4,Travel_Rarely,7,Research Director,2,2,3,4,4,2,4,6,2,1,0,0,0,6,1,No,14,6376,1062,66,21374,1,Y,80,No
84,53,Female,Single,Research & Development,Life Sciences,3,Travel_Rarely,5,Research Scientist,3,2,4,1,4,1,3,1,30,18,5,2,9,5,0,Yes,12,12362,674,69,3278,1,Y,80,No
85,45,Female,Married,Sales,Life Sciences,3,Travel_Rarely,21,Laboratory Technician,5,4,3,1,2,2,3,5,24,8,1,2,2,2,1,No,22,15679,926,41,17424,1,Y,80,No
86,48,Male,Married,Research & Development,Technical Degree,5,Travel_Rarely,11,Sales Executive,1,1,4,2,1,2,3,9,27,21,12,6,8,6,2,No,25,7185,1078,75,14027,1,Y,80,No
87,22,Female,Divorced,Research & Development,Medical,2,Travel_Rarely,21,Research Director,5,3,2,4,1,3,3,0,2,0,0,0,0,2,0,No,12,11305,937,69,15192,1,Y,80,No
88,31,Female,Married,Sales,Life Sciences,4,Travel_Frequently,18,Sales Executive,4,3,1,1,2,3,4,2,12,7,1,3,1,5,2,Yes,25,11671,114,98,7566,1,Y,80,Yes
89,51,Male,Married,Research & Development,Medical,5,Travel_Rarely,1,Healthcare Representative,4,4,3,4,3,3,4,7,30,7,3,2,5,1,1,Yes,24,11133,1362,47,24158,1,Y,80,No
90,53,Male,Single,Sales,Technical Degree,4,Travel_Rarely,9,Research Scientist,2,2,1,1,1,3,3,0,30,18,2,10,13,6,0,No,18,7725,484,34,4573,1,Y,80,No
91,36,Male,Single,Research & Development,Life Sciences,5,Travel_Rarely,1,Research Scientist,5,3,1,2,3,3,3,2,16,11,4,4,7,2,2,No,11,13697,1011,62,25439,1,Y,80,Yes
92,52,Female,Single,Research & Development,Life Sciences,3,Travel_Frequently,2,Manager,5,4,3,3,4,3,3,9,34,18,13,10,2,4,1,No,21,18837,892,44,3496,1,Y,80,No
93,54,Male,Married,Research & Development,Marketing,2,Travel_Frequently,14,Research Director,2,4,2,3,1,3,3,0,34,18,14,5,12,2,1,No,18,8978,268,42,9588,1,Y,80,No
94,34,Male,Single,Research & Development,Marketing,5,Travel_Frequently,8,Sales Executive,3,3,3,4,4,3,3,4,16,4,1,1,2,1,1,Yes,23,9152,1326,46,15182,1,Y,80,No
95,56,Male,Married,Human Resources,Other,4,Travel_Rarely,3,Research Scientist,1,3,3,1,4,3,4,3,33,14,11,6,1,2,0,No,15,7459,216,78,14906,1,Y,80,No
96,30,Female,Single,Research & Development,Medical,2,Travel_Frequently,12,Laboratory Technician,2,4,2,1,2,3,3,3,9,4,3,1,3,4,0,No,19,7591,1434,60,8486,1,Y,80,No
97,28,Male,Divorced,Research & Development,Life Sciences,2,Travel_Rarely,14,Human Resources,1,4,3,2,1,1,3,2,9,8,4,0,1,0,1,No,24,4701,1390,92,9203,1,Y,80,Yes
98,47,Female,Divorced,Research & Development,Medical,2,Travel_Rarely,29,Sales Executive,3,3,3,3,2,4,3,2,26,23,18,1,17,1,2,No,21,10078,911,38,15894,1,Y,80,No
99,45,Male,Single,Sales,Marketing,5,Travel_Rarely,20,Research Scientist,3,2,3,2,2,4,4,7,24,23,6,3,3,6,1,No,20,9959,1436,96,2543,1,Y,80,No
100,24,Female,Single,Sales,Life Sciences,1,Travel_Rarely,12,Manufacturing Director,3,3,3,3,2,4,4,0,3,0,0,0,0,0,2,No,25,7735,1298,59,5707,1,Y,80,No
101,53,Male,Single,Research & Development,Medical,4,Travel_Frequently,14,Laboratory Technician,4,1,2,2,4,1,3,1,32,13,10,7,8,5,2,Yes,18,13114,1359,67,11887,1,Y,80,No
102,26,Male,Divorced,Sales,Life Sciences,3,Travel_Frequently,3,Sales Executive,5,3,3,4,1,3,3,2,3,1,0,0,0,2,0,Yes,13,11713,1218,87,2610,1,Y,80,No
103,52,Female,Single,Research & Development,Technical Degree,1,Travel_Rarely,12,Healthcare Representative,1,2,3,1,2,3,3,8,29,20,7,1,4,2,1,No,25,6986,1400,64,4163,1,Y,80,No
104,18,Female,Married,Research & Development,Technical Degree,4,Travel_Rarely,17,Manager,2,4,1,3,4,2,3,3,0,0,0,0,0,2,1,No,13,7126,1183,41,2681,1,Y,80,No
105,52,Male,Married,Research & Development,Medical,4,Travel_Frequently,1,Research Scientist,2,3,1,3,1,4,4,0,33,27,4,3,17,2,0,Yes,19,8441,1332,47,22436,1,Y,80,No
106,51,Male,Divorced,Sales,Other,4,Travel_Frequently,27,Sales Representative,5,4,1,1,1,3,4,5,28,16,2,7,2,4,0,No,22,14222,256,95,4816,1,Y,80,No
107,51,Female,Married,Research & Development,Other,3,Travel_Rarely,15,Sales Executive,1,4,1,3,2,2,3,6,30,19,4,10,11,5,1,No,22,7739,697,34,6607,1,Y,80,No
108,46,Female,Married,Research & Development,Life Sciences,2,Non-Travel,23,Sales Representative,1,4,2,1,4,4,3,4,28,27,18,2,15,2,3,Yes,21,6700,770,94,21901,1,Y,80,No
109,38,Male,Divorced,Research & Development,Medical,1,Travel_Rarely,8,Laboratory Technician,1,1,4,3,4,2,3,0,17,6,1,1,3,1,3,No,17,5972,1373,77,12815,1,Y,80,No
110,48,Male,Single,Sales,Marketing,1,Travel_Frequently,25,Laboratory Technician,4,4,4,3,4,3,4,8,30,25,18,14,10,0,1,No,13,15673,780,66,13212,1,Y,80,No
111,29,Female,Divorced,Research & Development,Life Sciences,2,Travel_Rarely,11,Research Scientist,3,2,4,1,4,2,3,8,11,8,0,3,2,5,1,No,11,10144,715,52,18414,1,Y,80,No
112,51,Female,Single,Sales,Medical,4,Travel_Rarely,27,Research Director,5,3,3,1,1,2,4,9,32,9,3,4,7,6,1,No,15,17640,1202,91,17596,1,Y,80,No
113,41,Female,Married,Research & Development,Life Sciences,1,Travel_Rarely,16,Healthcare Representative,2,2,1,2,2,4,3,9,22,20,16,4,14,0,2,No,25,7917,1010,32,12334,1,Y,80,No
114,37,Male,Divorced,Research & Development,Other,5,Travel_Rarely,19,Sales Representative,2,2,2,4,3,3,4,3,19,16,3,2,13,4,1,No,21,9324,920,80,23874,1,Y,80,No
115,39,Male,Married,Research & Development,Medical,3,Travel_Rarely,6,Research Scientist,3,4,4,1,1,2,3,4,16,13,4,5,8,1,2,No,17,10795,1379,44,7695,1,Y,80,No
116,42,Female,Married,Research & Development,Technical Degree,2,Travel_Rarely,29,Sales Executive,1,4,4,4,4,3,3,9,22,6,4,0,4,1,3,No,18,4990,1247,55,7315,1,Y,80,No
117,19,Female,Single,Research & Development,Medical,5,Travel_Rarely,6,Sales Executive,5,3,4,3,3,4,3,4,0,0,0,0,0,5,0,Yes,16,13601,1095,34,14866,1,Y,80,No
118,24,Female,Married,Sales,Life Sciences,1,Travel_Rarely,1,Manufacturing Director,5,1,2,4,4,4,3,8,1,0,0,0,0,1,3,No,24,11178,1439,69,23783,1,Y,80,No
119,28,Male,Married,Research & Development,Human Resources,5,Travel_Rarely,13,Laboratory Technician,1,1,2,4,2,4,3,6,5,1,0,0,0,2,1,No,17,4394,167,40,24421,1,Y,80,Yes
120,22,Male,Married,Research & Development,Life Sciences,2,Travel_Frequently,25,Sales Representative,5,1,3,2,3,4,4,9,0,0,0,0,0,0,0,No,23,11067,876,38,20640,1,Y,80,No
121,36,Female,Married,Research & Development,Life Sciences,2,Travel_Rarely,27,Research Director,3,4,1,3,1,3,3,0,17,8,5,3,1,6,0,No,11,10601,143,53,2087,1,Y,80,No
122,46,Male,Married,Sales,Medical,3,Travel_Rarely,25,Laboratory Technician,2,2,1,3,1,3,4,7,24,4,0,2,1,6,1,No,18,8322,1208,65,20225,1,Y,80,No
123,46,Female,Single,Sales,Marketing,5,Travel_Rarely,17,Manufacturing Director,5,1,1,1,3,4,3,8,23,17,4,3,7,6,0,No,20,15607,277,97,6097,1,Y,80,No
124,38,Male,Single,Sales,Medical,2,Travel_Rarely,27,Manufacturing Director,3,3,3,3,1,2,3,1,20,12,5,5,5,1,0,No,21,10984,884,88,23768,1,Y,80,No
125,54,Female,Married,Human Resources,Life Sciences,5,Travel_Rarely,15,Sales Representative,2,4,1,2,2,2,4,7,31,8,5,0,4,1,1,Yes,11,8256,1195,58,4837,1,Y,80,Yes
126,42,Female,Single,Research & Development,Life Sciences,2,Non-Travel,14,Manager,5,3,3,1,4,3,3,1,19,12,4,6,6,6,0,No,20,13894,975,71,5146,1,Y,80,No
127,21,Male,Divorced,Sales,Life Sciences,2,Travel_Frequently,6,Manager,4,2,2,4,2,2,4,9,0,0,0,0,0,4,0,No,23,10741,182,84,14884,1,Y,80,Yes
128,50,Male,Married,Human Resources,Life Sciences,4,Travel_Frequently,23,Sales Executive,1,1,4,2,2,3,4,9,30,7,5,0,2,1,1,Yes,12,6889,766,57,15512,1,Y,80,Yes
129,42,Female,Single,Sales,Medical,4,Non-Travel,10,Manufacturing Director,4,4,1,4,2,4,3,0,23,13,7,5,4,0,0,No,15,15084,1191,84,10488,1,Y,80,No
130,45,Male,Married,Research & Development,Life Sciences,2,Travel_Frequently,6,Human Resources,4,1,2,1,3,3,3,5,23,13,6,5,8,5,1,Yes,17,12255,1443,77,14088,1,Y,80,No
131,42,Male,Divorced,Research & Development,Life Sciences,1,Travel_Rarely,11,Manufacturing Director,2,4,1,3,4,3,3,3,21,9,5,4,5,5,0,No,14,8465,1357,79,19866,1,Y,80,No
132,41,Female,Single,Research & Development,Marketing,2,Travel_Rarely,18,Research Scientist,3,1,2,2,3,3,3,8,19,13,8,2,9,0,2,Yes,17,11958,1244,99,18599,1,Y,80,No
133,21,Female,Single,Research & Development,Technical Degree,3,Travel_Frequently,8,Research Scientist,5,1,3,4,2,3,3,3,2,1,0,0,0,3,0,No,24,14418,529,56,19806,1,Y,80,No
134,42,Male,Single,Research & Development,Life Sciences,1,Travel_Rarely,11,Sales Executive,1,2,1,4,2,2,3,7,23,15,11,7,1,3,2,No,24,5662,1152,34,7949,1,Y,80,No
135,52,Male,Single,Human Resources,Medical,1,Travel_Rarely,10,Research Director,4,1,3,4,1,1,3,1,29,13,6,2,11,3,1,No,20,13115,333,68,15983,1,Y,80,No
136,31,Male,Married,Sales,Life Sciences,5,Non-Travel,18,Sales Executive,5,1,4,4,1,3,3,2,10,7,5,0,0,2,2,No,24,16100,561,53,5183,1,Y,80,No
137,43,Male,Divorced,Human Resources,Other,1,Travel_Rarely,21,Manager,5,1,1,4,2,3,4,9,20,13,11,6,8,2,1,Yes,23,14658,496,34,8066,1,Y,80,No
138,19,Male,Single,Research & Development,Life Sciences,3,Travel_Frequently,20,Manufacturing Director,2,3,1,2,2,3,3,3,0,0,0,0,0,2,1,Yes,11,5609,779,41,26336,1,Y,80,Yes
139,32,Male,Married,Research & Development,Life Sciences,4,Travel_Rarely,5,Sales Executive,2,4,4,4,4,3,4,7,12,8,3,2,3,6,0,Yes,16,7393,1325,67,3069,1,Y,80,No
140,36,Female,Single,Sales,Medical,2,Travel_Rarely,11,Research Director,5,1,3,3,4,1,3,9,17,14,7,7,10,6,1,No,23,12969,1308,97,13642,1,Y,80,No
