EmployeeNumber,Age,Gender,MaritalStatus,Department,EducationField,Education,BusinessTravel,DistanceFromHome,JobRole,JobLevel,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,RelationshipSatisfaction,WorkLifeBalance,PerformanceRating,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,StockOptionLevel,OverTime,PercentSalaryHike,MonthlyIncome,DailyRate,HourlyRate,MonthlyRate,Attrition,Attrition_Flag,TenureRatio,JobHoppingIndex,SatisfactionScore,IncomeToLevelRatio,PromotionStagnation,ManagerStability,IsFrequentTraveler,HasNoStockOptions,IsEarlyCareer,LongCommute,AgeGroup
30,37,Female,Married,Human Resources,Life Sciences,2,Travel_Rarely,29,Healthcare Representative,5,1,2,2,1,3,3,7,19,8,6,2,2,2,0,No,17,14951,1009,54,6794,No,0,0.42105263157894735,0.3684210526315789,2.0,1.0073216222898955,0.25,0.25,0,1,0,1,36-45
31,37,Male,Married,Sales,Medical,2,Travel_Rarely,5,Sales Executive,3,2,2,3,1,3,3,8,14,9,1,2,4,3,0,No,21,8512,570,87,2779,No,0,0.6428571428571429,0.5714285714285714,2.25,0.8278604272327714,0.2222222222222222,0.4444444444444444,0,1,0,0,36-45
32,27,Female,Single,Research & Development,Medical,1,Non-Travel,25,Healthcare Representative,1,1,1,1,4,2,3,5,6,5,2,1,2,1,0,No,20,4213,400,46,8909,Yes,1,0.8333333333333334,0.8333333333333334,2.0,0.7444440342922222,0.2,0.4,0,1,0,1,26-35
33,21,Male,Married,Research & Development,Life Sciences,4,Travel_Rarely,7,Human Resources,4,4,2,1,2,3,3,1,1,0,0,0,0,0,0,No,18,10278,695,78,6115,No,0,0.0,1.0,2.0,0.8072371767381092,0.0,0.0,0,1,1,0,18-25
34,41,Female,Married,Sales,Life Sciences,2,Non-Travel,19,Laboratory Technician,1,3,4,1,2,3,3,0,18,4,0,1,2,2,1,No,25,5957,1387,61,16169,No,0,0.2222222222222222,0.0,2.5,1.0526117047896433,0.25,0.5,0,0,0,1,36-45
35,56,Female,Single,Research & Development,Other,5,Travel_Rarely,3,Human Resources,2,3,1,3,3,3,3,2,36,15,9,7,3,1,0,No,20,9892,1105,48,24736,No,0,0.4166666666666667,0.05555555555555555,2.5,1.2244726387639466,0.4666666666666667,0.2,0,1,0,0,56-60
36,20,Male,Single,Research & Development,Human Resources,5,Travel_Frequently,12,Manager,4,3,4,2,1,2,3,2,0,0,0,0,0,6,0,Yes,23,11705,1406,63,3648,Yes,1,0.0,2.0,2.25,0.9193141811363659,0.0,0.0,1,1,1,0,18-25
37,54,Female,Divorced,Human Resources,Human Resources,1,Travel_Rarely,19,Manufacturing Director,2,1,3,2,1,3,4,0,34,25,18,3,3,0,1,No,20,10425,874,38,9112,No,0,0.7352941176470589,0.0,2.25,1.290449581390431,0.12,0.12,0,0,0,1,46-55
38,53,Male,Married,Sales,Life Sciences,5,Travel_Frequently,21,Sales Representative,3,1,3,3,2,2,3,7,32,6,4,1,1,3,0,No,25,12262,247,67,3126,No,0,0.1875,0.21875,2.5,1.192578073158863,0.16666666666666666,0.16666666666666666,1,1,0,1,46-55
39,29,Female,Single,Research & Development,Life Sciences,1,Travel_Rarely,26,Manufacturing Director,3,2,4,2,4,3,3,3,6,5,3,2,1,3,1,Yes,17,8177,183,80,4090,No,0,0.8333333333333334,0.5,3.25,0.7952789841967072,0.4,0.2,0,0,0,1,26-35
40,45,Female,Single,Research & Development,Medical,3,Travel_Rarely,24,Sales Executive,5,1,1,1,3,3,3,7,24,21,8,11,3,0,2,No,13,15405,372,72,3245,No,0,0.875,0.2916666666666667,2.0,1.0379098114758771,0.5238095238095238,0.14285714285714285,0,0,0,1,36-45
41,25,Male,Divorced,Sales,Medical,3,Travel_Frequently,16,Research Director,2,2,4,3,3,4,3,2,6,3,2,0,1,3,0,No,13,6675,829,31,17167,No,0,0.5,0.3333333333333333,3.5,0.8262590844873983,0.0,0.3333333333333333,1,1,0,1,18-25
42,50,Male,Married,Research & Development,Life Sciences,5,Travel_Rarely,9,Manufacturing Director,5,2,2,3,3,3,4,0,27,25,15,7,16,6,1,No,25,13132,394,71,25032,No,0,0.9259259259259259,0.0,2.75,0.8847667409478234,0.28,0.64,0,0,0,0,46-55
43,48,Male,Married,Sales,Technical Degree,4,Travel_Rarely,8,Manager,4,4,2,1,4,3,4,1,27,18,7,8,13,0,0,No,22,15375,544,31,20117,No,0,0.6666666666666666,0.037037037037037035,2.5,1.207557072616115,0.4444444444444444,0.7222222222222222,0,1,0,0,46-55
44,33,Male,Single,Sales,Other,5,Travel_Frequently,29,Sales Representative,4,2,2,2,4,4,3,4,11,10,1,5,3,1,0,No,15,10009,1376,56,19221,Yes,1,0.9090909090909091,0.36363636363636365,3.0,0.7861098367359151,0.5,0.3,1,1,0,1,26-35
45,20,Male,Single,Research & Development,Medical,3,Travel_Rarely,18,Sales Executive,1,1,3,1,1,3,3,4,0,0,0,0,0,1,0,No,17,4590,160,75,5917,Yes,1,0.0,4.0,2.0,0.8110605548068597,0.0,0.0,0,1,1,1,18-25
46,59,Male,Single,Research & Development,Medical,5,Travel_Rarely,27,Sales Representative,1,4,2,3,3,4,3,4,40,39,11,3,17,0,1,No,11,6297,209,93,22919,No,0,0.975,0.1,3.0,1.1126902644049663,0.07692307692307693,0.4358974358974359,0,0,0,1,56-60
47,37,Male,Married,Research & Development,Medical,5,Travel_Rarely,13,Manufacturing Director,4,1,4,1,3,2,3,9,14,4,1,2,1,6,0,No,25,13200,645,99,16482,No,0,0.2857142857142857,0.6428571428571429,2.5,1.0367319257582255,0.5,0.25,0,1,0,0,36-45
48,56,Male,Single,Research & Development,Life Sciences,5,Non-Travel,15,Healthcare Representative,3,1,1,1,1,3,3,6,34,16,13,6,4,0,1,No,17,10769,1151,66,26085,No,0,0.47058823529411764,0.17647058823529413,1.5,1.0473718210608218,0.375,0.25,0,0,0,1,56-60
49,47,Female,Single,Research & Development,Life Sciences,3,Travel_Rarely,24,Healthcare Representative,2,2,3,2,4,2,3,7,28,26,18,2,12,1,0,No,16,10204,1253,45,11763,No,0,0.9285714285714286,0.25,2.75,1.2630932881062789,0.07692307692307693,0.46153846153846156,0,1,0,1,46-55
50,51,Female,Married,Sales,Medical,2,Non-Travel,21,Sales Representative,5,1,3,2,2,3,4,1,28,13,2,2,11,5,1,No,14,17717,502,89,19524,No,0,0.4642857142857143,0.03571428571428571,2.5,1.1936805017798193,0.15384615384615385,0.8461538461538461,0,0,0,1,46-55
51,50,Female,Divorced,Sales,Medical,5,Travel_Frequently,6,Research Scientist,2,4,3,4,4,4,3,4,32,11,9,3,4,6,0,No,12,7550,506,55,14014,No,0,0.34375,0.125,3.75,0.9345702004314392,0.2727272727272727,0.36363636363636365,1,1,0,0,46-55
52,26,Male,Married,Sales,Medical,4,Travel_Rarely,16,Sales Executive,3,2,3,1,1,3,3,6,3,0,0,0,0,1,0,No,22,7187,915,69,14883,Yes,1,0.0,2.0,2.0,0.698993525672219,0.0,0.0,0,1,1,1,26-35
53,33,Female,Married,Research & Development,Technical Degree,5,Travel_Rarely,7,Manufacturing Director,4,4,3,4,3,3,3,5,12,3,1,1,0,2,1,Yes,14,12418,1312,44,4654,No,0,0.25,0.4166666666666667,3.25,0.9753134131867912,0.3333333333333333,0.0,0,0,0,0,26-35
54,38,Male,Married,Sales,Life Sciences,3,Travel_Rarely,23,Research Scientist,5,1,4,2,3,2,4,9,17,8,6,0,1,1,0,No,12,12765,348,56,13975,No,0,0.47058823529411764,0.5294117647058824,2.75,0.860040165108054,0.0,0.125,0,1,0,1,36-45
55,39,Male,Married,Sales,Life Sciences,5,Travel_Rarely,1,Laboratory Technician,5,3,1,2,3,4,3,4,21,11,7,1,2,1,0,No,25,12312,1349,64,6177,No,0,0.5238095238095238,0.19047619047619047,2.5,0.8295193507881208,0.09090909090909091,0.18181818181818182,0,1,0,0,36-45
56,19,Male,Married,Sales,Life Sciences,4,Travel_Frequently,24,Manager,4,1,2,1,1,3,3,3,0,0,0,0,0,6,1,Yes,19,12742,1229,82,20650,Yes,1,0.0,3.0,1.75,1.0007604695463113,0.0,0.0,1,0,1,1,18-25
57,41,Female,Married,Research & Development,Life Sciences,4,Travel_Rarely,27,Research Director,1,1,3,2,1,2,3,9,19,16,4,1,8,2,1,Yes,12,5968,474,93,19718,No,0,0.8421052631578947,0.47368421052631576,2.0,1.054555422894845,0.0625,0.5,0,0,0,1,36-45
58,24,Male,Married,Research & Development,Medical,1,Travel_Rarely,1,Sales Representative,1,2,2,2,3,4,3,3,3,0,0,0,0,4,1,Yes,15,3391,1039,42,23697,No,0,0.0,1.0,2.75,0.5991952813398826,0.0,0.0,0,0,1,0,18-25
59,49,Male,Married,Research & Development,Technical Degree,3,Travel_Frequently,19,Laboratory Technician,4,4,4,3,4,3,3,5,31,27,18,8,17,1,0,No,19,13694,980,69,13523,No,0,0.8709677419354839,0.16129032258064516,3.5,1.075530832676753,0.2962962962962963,0.6296296296296297,1,1,0,1,46-55
60,47,Female,Divorced,Research & Development,Human Resources,4,Travel_Frequently,3,Research Director,3,2,3,4,3,3,3,0,26,17,4,3,8,1,0,No,14,9531,129,98,22740,No,0,0.6538461538461539,0.0,3.25,0.9269663688857547,0.17647058823529413,0.47058823529411764,1,1,0,0,46-55
61,57,Male,Divorced,Research & Development,Marketing,4,Travel_Frequently,11,Manufacturing Director,1,4,3,3,1,1,3,1,35,28,3,13,5,2,0,No,25,8028,662,31,24255,No,0,0.8,0.02857142857142857,2.0,1.418560813505331,0.4642857142857143,0.17857142857142858,1,1,0,0,56-60
62,50,Male,Single,Sales,Medical,5,Travel_Rarely,10,Research Scientist,4,1,1,1,4,2,3,0,31,24,7,0,16,4,0,No,24,11276,431,70,14323,No,0,0.7741935483870968,0.0,2.0,0.8856203935492235,0.0,0.6666666666666666,0,1,0,0,46-55
63,33,Female,Married,Research & Development,Life Sciences,2,Travel_Rarely,16,Sales Representative,5,2,2,2,2,3,3,4,11,10,4,4,2,6,0,No,24,13467,195,84,25671,No,0,0.9090909090909091,0.36363636363636365,2.25,0.9073373210740434,0.4,0.2,0,1,0,1,26-35
64,59,Male,Single,Sales,Medical,2,Travel_Rarely,27,Healthcare Representative,1,3,3,3,1,3,4,9,36,9,3,3,5,1,0,No,18,6559,752,37,21337,No,0,0.25,0.25,2.5,1.1589860956379505,0.3333333333333333,0.5555555555555556,0,1,0,1,56-60
65,35,Male,Married,Research & Development,Medical,5,Travel_Rarely,14,Manufacturing Director,5,2,2,3,2,4,3,0,15,9,7,2,7,4,0,No,25,17206,1083,77,9256,No,0,0.6,0.0,2.75,1.1592519452290777,0.2222222222222222,0.7777777777777778,0,1,0,0,26-35
66,32,Female,Single,Research & Development,Human Resources,5,Travel_Frequently,12,Manager,2,3,4,3,1,2,3,9,13,12,5,6,5,3,1,No,15,6230,843,59,13914,No,0,0.9230769230769231,0.6923076923076923,2.5,0.7711751455215717,0.5,0.4166666666666667,1,0,0,0,26-35
67,56,Female,Single,Research & Development,Medical,1,Non-Travel,3,Sales Representative,2,3,1,3,4,3,3,8,33,25,18,3,8,5,0,No,19,10093,224,72,4523,No,0,0.7575757575757576,0.24242424242424243,2.75,1.2493532493979491,0.12,0.32,0,1,0,0,56-60
68,33,Male,Married,Sales,Life Sciences,2,Travel_Rarely,26,Laboratory Technician,4,1,1,3,4,3,3,0,10,2,1,0,1,2,0,No,22,11661,1258,80,11609,No,0,0.2,0.0,2.75,0.9158584080505051,0.0,0.5,0,1,0,1,26-35
69,21,Female,Married,Research & Development,Life Sciences,5,Travel_Frequently,10,Research Scientist,2,3,2,4,1,3,3,0,1,0,0,0,0,2,0,No,18,7047,198,40,11014,Yes,1,0.0,0.0,2.5,0.8723067817801792,0.0,0.0,1,1,1,0,18-25
70,38,Male,Divorced,Research & Development,Life Sciences,1,Travel_Frequently,14,Healthcare Representative,1,4,2,3,3,3,3,9,18,15,3,8,5,4,0,Yes,23,4977,641,34,9441,Yes,1,0.8333333333333334,0.5,2.75,0.8794440917807713,0.5333333333333333,0.3333333333333333,1,1,0,0,36-45
71,52,Male,Single,Research & Development,Human Resources,4,Travel_Rarely,3,Sales Executive,5,4,4,3,1,3,3,5,29,12,3,0,6,3,1,No,12,18012,895,52,10887,No,0,0.41379310344827586,0.1724137931034483,2.75,1.2135560872641027,0.0,0.5,0,0,0,0,46-55
72,26,Male,Single,Research & Development,Life Sciences,1,Travel_Frequently,9,Manager,2,2,4,2,2,3,3,1,8,5,3,1,1,5,0,No,17,8143,1397,48,3363,No,0,0.625,0.125,2.75,1.0079741910083722,0.2,0.2,1,1,0,0,26-35
73,37,Male,Married,Research & Development,Life Sciences,1,Non-Travel,17,Manufacturing Director,1,2,2,2,1,4,3,9,18,15,10,1,1,0,0,No,23,4975,1155,50,13335,No,0,0.8333333333333334,0.5,2.25,0.8790906884889165,0.06666666666666667,0.06666666666666667,0,1,0,1,36-45
74,23,Female,Single,Sales,Life Sciences,4,Travel_Rarely,27,Research Scientist,4,4,3,3,3,3,3,5,2,1,0,0,0,2,2,No,13,9925,371,95,7029,No,0,0.5,2.5,3.0,0.7795124517538172,0.0,0.0,0,0,1,1,18-25
75,47,Female,Single,Research & Development,Technical Degree,4,Non-Travel,10,Manager,2,4,2,4,1,3,3,6,26,9,7,0,3,1,0,No,16,10180,698,78,7728,No,0,0.34615384615384615,0.23076923076923078,2.5,1.2601224689260995,0.0,0.3333333333333333,0,1,0,0,46-55
76,38,Male,Divorced,Research & Development,Medical,3,Travel_Frequently,17,Manufacturing Director,4,4,3,4,4,3,3,6,17,10,7,1,4,1,0,Yes,25,12109,1300,55,20250,No,0,0.5882352941176471,0.35294117647058826,3.5,0.9510444612883601,0.1,0.4,1,1,0,1,36-45
77,32,Male,Single,Sales,Marketing,5,Travel_Frequently,26,Manufacturing Director,1,4,3,3,1,3,3,2,12,8,1,0,7,0,1,No,20,5659,446,72,24206,No,0,0.6666666666666666,0.16666666666666666,2.5,0.999954614303272,0.0,0.875,1,0,0,1,26-35
78,27,Male,Single,Research & Development,Medical,2,Non-Travel,11,Research Scientist,3,2,3,4,2,2,4,3,4,2,1,0,0,2,1,No,16,10041,1366,41,6292,No,0,0.5,0.75,2.75,0.9765679687317032,0.0,0.0,0,0,0,0,26-35
79,42,Female,Married,Research & Development,Life Sciences,3,Non-Travel,9,Sales Representative,3,1,4,1,4,4,3,1,21,15,11,6,3,1,2,No,16,9733,846,42,16031,No,0,0.7142857142857143,0.047619047619047616,3.25,0.9466124927463069,0.4,0.2,0,0,0,0,36-45
80,46,Male,Married,Research & Development,Technical Degree,4,Travel_Rarely,2,Human Resources,5,1,3,2,4,2,3,5,25,13,9,3,10,5,2,No,14,13592,977,36,24529,No,0,0.52,0.2,2.75,0.9157591793300957,0.23076923076923078,0.7692307692307693,0,0,0,0,46-55
81,58,Female,Married,Research & Development,Life Sciences,4,Travel_Rarely,27,Manager,3,2,2,1,1,2,3,9,35,31,5,0,6,3,1,No,22,11211,1028,60,17197,No,0,0.8857142857142857,0.2571428571428571,1.5,1.0903598742606437,0.0,0.1935483870967742,0,0,0,1,56-60
82,36,Male,Married,Research & Development,Life Sciences,2,Travel_Frequently,4,Laboratory Technician,5,4,1,3,1,3,3,6,18,14,3,7,11,5,0,No,12,15345,1454,73,3964,No,0,0.7777777777777778,0.3333333333333333,2.0,1.0338673195129722,0.5,0.7857142857142857,1,1,0,0,36-45
83,24,Male,Divorced,Research & Development,Medical,4,Travel_Rarely,7,Research Director,2,2,3,4,4,2,4,6,2,1,0,0,0,6,1,No,14,6376,1062,66,21374,No,0,0.5,3.0,3.25,0.7892476288676631,0.0,0.0,0,0,1,0,18-25
84,53,Female,Single,Research & Development,Life Sciences,3,Travel_Rarely,5,Research Scientist,3,2,4,1,4,1,3,1,30,18,5,2,9,5,0,Yes,12,12362,674,69,3278,No,0,0.6,0.03333333333333333,2.5,1.2023038770502255,0.1111111111111111,0.5,0,1,0,0,46-55
85,45,Female,Married,Sales,Life Sciences,3,Travel_Rarely,21,Laboratory Technician,5,4,3,1,2,2,3,5,24,8,1,2,2,2,1,No,22,15679,926,41,17424,No,0,0.3333333333333333,0.20833333333333334,2.0,1.0563705247731436,0.25,0.25,0,0,0,1,36-45
86,48,Male,Married,Research & Development,Technical Degree,5,Travel_Rarely,11,Sales Executive,1,1,4,2,1,2,3,9,27,21,12,6,8,6,2,No,25,7185,1078,75,14027,No,0,0.7777777777777778,0.3333333333333333,2.25,1.2696013259885157,0.2857142857142857,0.38095238095238093,0,0,0,0,46-55
87,22,Female,Divorced,Research & Development,Medical,2,Travel_Rarely,21,Research Director,5,3,2,4,1,3,3,0,2,0,0,0,0,2,0,No,12,11305,937,69,15192,No,0,0.0,0.0,2.5,0.761672860677364,0.0,0.0,0,1,1,1,18-25
88,31,Female,Married,Sales,Life Sciences,4,Travel_Frequently,18,Sales Executive,4,3,1,1,2,3,4,2,12,7,1,3,1,5,2,Yes,25,11671,114,98,7566,Yes,1,0.5833333333333334,0.16666666666666666,1.75,0.9166438110245644,0.42857142857142855,0.14285714285714285,1,0,0,1,26-35
89,51,Male,Married,Research & Development,Medical,5,Travel_Rarely,1,Healthcare Representative,4,4,3,4,3,3,4,7,30,7,3,2,5,1,1,Yes,24,11133,1362,47,24158,No,0,0.23333333333333334,0.23333333333333334,3.25,0.8743891310201761,0.2857142857142857,0.7142857142857143,0,0,0,0,46-55
90,53,Male,Single,Sales,Technical Degree,4,Travel_Rarely,9,Research Scientist,2,2,1,1,1,3,3,0,30,18,2,10,13,6,0,No,18,7725,484,34,4573,No,0,0.6,0.0,1.5,0.9562324236202474,0.5555555555555556,0.7222222222222222,0,1,0,0,46-55
91,36,Male,Single,Research & Development,Life Sciences,5,Travel_Rarely,1,Research Scientist,5,3,1,2,3,3,3,2,16,11,4,4,7,2,2,No,11,13697,1011,62,25439,Yes,1,0.6875,0.125,2.25,0.9228335402651795,0.36363636363636365,0.6363636363636364,0,0,0,0,36-45
92,52,Female,Single,Research & Development,Life Sciences,3,Travel_Frequently,2,Manager,5,4,3,3,4,3,3,9,34,18,13,10,2,4,1,No,21,18837,892,44,3496,No,0,0.5294117647058824,0.2647058823529412,3.25,1.2691403517540474,0.5555555555555556,0.1111111111111111,1,0,0,0,46-55
93,54,Male,Married,Research & Development,Marketing,2,Travel_Frequently,14,Research Director,2,4,2,3,1,3,3,0,34,18,14,5,12,2,1,No,18,8978,268,42,9588,No,0,0.5294117647058824,0.0,2.25,1.1113339416521142,0.2777777777777778,0.6666666666666666,1,0,0,0,46-55
